plot,year,focal_species,neighbor_species,current_focal_cover,previous_focal_cover,previous_neighbor_cover,season_length_ds
10,2015,POBI6,PHPU5,0.02,0.01,0.02,184
10,2015,POBI6,ERNA,0.02,0.01,0,184
10,2015,POBI6,ARSC,0.02,0.01,0.03,184
10,2015,POBI6,2LICHN,0.02,0.01,0.01,184
11,2016,POBI6,2MOSS,0.01,0,0.3,126
11,2016,POBI6,SIPR,0.01,0,0.06,126
11,2016,POBI6,SOSIN,0.01,0,0.04,126
11,2016,POBI6,GEROT,0.01,0,0.06,126
11,2016,POBI6,2UNKSC,0.01,0,0.05,126
11,2016,POBI6,ERSI3,0.01,0,0.07,126
11,2016,POBI6,ARSC,0.01,0,0.06,126
11,2016,POBI6,2LTR,0.01,0,0.06,126
11,2016,POBI6,PODI2,0.01,0,0.03,126
11,2016,POBI6,KOMY,0.01,0,0.04,126
11,2016,POBI6,CALA10,0.01,0,0.11,126
11,2016,POBI6,MIOB2,0.01,0,0.04,126
11,2016,POBI6,CHJA,0.01,0,0.02,126
11,2016,POBI6,TRSP2,0.01,0,0.04,126
11,2016,POBI6,2LICHN,0.01,0,0.06,126
11,2016,POBI6,2BARE,0.01,0,0.04,126
11,2016,POBI6,LEPY2,0.01,0,0.02,126
12,2011,POBI6,2LTR,0.05,0.07,0.27,148
12,2011,POBI6,2BARE,0.05,0.07,0.07,148
12,2011,POBI6,RAAD,0.05,0.07,0.12,148
12,2011,POBI6,MIOB2,0.05,0.07,0.12,148
12,2011,POBI6,TRPAP,0.05,0.07,0.09,148
12,2011,POBI6,SIPR,0.05,0.07,0.31,148
12,2011,POBI6,GEROT,0.05,0.07,0.12,148
12,2011,POBI6,2LICHN,0.05,0.07,0.04,148
12,2011,POBI6,ARSC,0.05,0.07,0.05,148
12,2011,POBI6,LEPY2,0.05,0.07,0,148
12,2012,POBI6,TRPAP,0.06,0.05,0.09,175
12,2012,POBI6,GEROT,0.06,0.05,0.09,175
12,2012,POBI6,2BARE,0.06,0.05,0.08,175
12,2012,POBI6,MIOB2,0.06,0.05,0.11,175
12,2012,POBI6,SIPR,0.06,0.05,0.36,175
12,2012,POBI6,2LTR,0.06,0.05,0.33,175
12,2012,POBI6,RAAD,0.06,0.05,0.1,175
12,2012,POBI6,2LICHN,0.06,0.05,0.05,175
12,2012,POBI6,ARSC,0.06,0.05,0.07,175
12,2012,POBI6,ARFEF3,0.06,0.05,0,175
12,2012,POBI6,TRSP2,0.06,0.05,0,175
12,2013,POBI6,GEROT,0.04,0.06,0.12,171
12,2013,POBI6,TRPAP,0.04,0.06,0.18,171
12,2013,POBI6,RAAD,0.04,0.06,0.1,171
12,2013,POBI6,2LTR,0.04,0.06,0.2,171
12,2013,POBI6,2BARE,0.04,0.06,0.07,171
12,2013,POBI6,SIPR,0.04,0.06,0.26,171
12,2013,POBI6,ARSC,0.04,0.06,0.05,171
12,2013,POBI6,TRSP2,0.04,0.06,0.01,171
12,2013,POBI6,MIOB2,0.04,0.06,0.08,171
12,2014,POBI6,GEROT,0.04,0.04,0.16,100
12,2014,POBI6,TRPAP,0.04,0.04,0.18,100
12,2014,POBI6,2BARE,0.04,0.04,0.07,100
12,2014,POBI6,RAAD,0.04,0.04,0.06,100
12,2014,POBI6,SIPR,0.04,0.04,0.29,100
12,2014,POBI6,2LTR,0.04,0.04,0.23,100
12,2014,POBI6,ARSC,0.04,0.04,0.1,100
12,2014,POBI6,TRSP2,0.04,0.04,0.01,100
12,2014,POBI6,MIOB2,0.04,0.04,0.04,100
12,2015,POBI6,2LTR,0.07,0.04,0.2,114
12,2015,POBI6,GEROT,0.07,0.04,0.18,114
12,2015,POBI6,RAAD,0.07,0.04,0.1,114
12,2015,POBI6,SIPR,0.07,0.04,0.26,114
12,2015,POBI6,TRPAP,0.07,0.04,0.15,114
12,2015,POBI6,2BARE,0.07,0.04,0.07,114
12,2015,POBI6,ARSC,0.07,0.04,0.08,114
12,2015,POBI6,MIOB2,0.07,0.04,0.03,114
12,2016,POBI6,GEROT,0.07,0.07,0.19,126
12,2016,POBI6,ARSC,0.07,0.07,0.09,126
12,2016,POBI6,RAAD,0.07,0.07,0.09,126
12,2016,POBI6,2LTR,0.07,0.07,0.25,126
12,2016,POBI6,SIPR,0.07,0.07,0.35,126
12,2016,POBI6,TRPAP,0.07,0.07,0.18,126
12,2016,POBI6,2BARE,0.07,0.07,0.08,126
12,2016,POBI6,MIOB2,0.07,0.07,0.08,126
12,2017,POBI6,TRPAP,0.04,0.07,0.14,97
12,2017,POBI6,2LTR,0.04,0.07,0.31,97
12,2017,POBI6,GEROT,0.04,0.07,0.2,97
12,2017,POBI6,MIOB2,0.04,0.07,0.07,97
12,2017,POBI6,TRSP2,0.04,0.07,0,97
12,2017,POBI6,2BARE,0.04,0.07,0.01,97
12,2017,POBI6,RAAD,0.04,0.07,0.09,97
12,2017,POBI6,ARSC,0.04,0.07,0.09,97
12,2017,POBI6,SIPR,0.04,0.07,0.29,97
12,2017,POBI6,ARFEF3,0.04,0.07,0,97
12,2018,POBI6,GEROT,0.06,0.04,0.17,140
12,2018,POBI6,2LTR,0.06,0.04,0.19,140
12,2018,POBI6,RAAD,0.06,0.04,0.09,140
12,2018,POBI6,SIPR,0.06,0.04,0.36,140
12,2018,POBI6,TRPAP,0.06,0.04,0.26,140
12,2018,POBI6,TRSP2,0.06,0.04,0.01,140
12,2018,POBI6,2BARE,0.06,0.04,0.03,140
12,2018,POBI6,ARSC,0.06,0.04,0.1,140
12,2018,POBI6,ARFEF3,0.06,0.04,0.02,140
12,2018,POBI6,MIOB2,0.06,0.04,0.07,140
14,2011,POBI6,2LTR,0.05,0.03,0.13,148
14,2011,POBI6,TRPAP,0.05,0.03,0.07,148
14,2011,POBI6,SIPR,0.05,0.03,0.13,148
14,2011,POBI6,2MOSS,0.05,0.03,0.47,148
14,2011,POBI6,RAAD,0.05,0.03,0.02,148
14,2011,POBI6,GEROT,0.05,0.03,0.1,148
14,2011,POBI6,2BARE,0.05,0.03,0.03,148
14,2011,POBI6,ERSI3,0.05,0.03,0.04,148
14,2011,POBI6,MIOB2,0.05,0.03,0.05,148
14,2011,POBI6,2LICHN,0.05,0.03,0.04,148
14,2011,POBI6,LUSP4,0.05,0.03,0.03,148
14,2012,POBI6,2LTR,0.05,0.05,0.25,154
14,2012,POBI6,2MOSS,0.05,0.05,0.36,154
14,2012,POBI6,GEROT,0.05,0.05,0.11,154
14,2012,POBI6,RAAD,0.05,0.05,0.05,154
14,2012,POBI6,SIPR,0.05,0.05,0.13,154
14,2012,POBI6,2BARE,0.05,0.05,0.02,154
14,2012,POBI6,CHJA,0.05,0.05,0,154
14,2012,POBI6,MIOB2,0.05,0.05,0.04,154
14,2012,POBI6,TRSP2,0.05,0.05,0,154
14,2012,POBI6,ERSI3,0.05,0.05,0.05,154
14,2012,POBI6,LUSP4,0.05,0.05,0.03,154
14,2012,POBI6,TRPAP,0.05,0.05,0.05,154
14,2012,POBI6,2LICHN,0.05,0.05,0.07,154
14,2013,POBI6,2LTR,0.05,0.05,0.16,171
14,2013,POBI6,TRPAP,0.05,0.05,0.06,171
14,2013,POBI6,RAAD,0.05,0.05,0.05,171
14,2013,POBI6,2MOSS,0.05,0.05,0.39,171
14,2013,POBI6,SIPR,0.05,0.05,0.14,171
14,2013,POBI6,GEROT,0.05,0.05,0.13,171
14,2013,POBI6,ERSI3,0.05,0.05,0.02,171
14,2013,POBI6,TRSP2,0.05,0.05,0.03,171
14,2013,POBI6,CHJA,0.05,0.05,0.01,171
14,2013,POBI6,MIOB2,0.05,0.05,0.03,171
14,2013,POBI6,LUSP4,0.05,0.05,0.02,171
14,2013,POBI6,2BARE,0.05,0.05,0.03,171
14,2013,POBI6,2LICHN,0.05,0.05,0.04,171
14,2013,POBI6,SEDES,0.05,0.05,0,171
14,2014,POBI6,2BARE,0.04,0.05,0.04,100
14,2014,POBI6,SIPR,0.04,0.05,0.14,100
14,2014,POBI6,2LTR,0.04,0.05,0.09,100
14,2014,POBI6,ERSI3,0.04,0.05,0.04,100
14,2014,POBI6,RAAD,0.04,0.05,0.07,100
14,2014,POBI6,CAOC4,0.04,0.05,0,100
14,2014,POBI6,LUSP4,0.04,0.05,0.04,100
14,2014,POBI6,LEPY2,0.04,0.05,0,100
14,2014,POBI6,GEROT,0.04,0.05,0.11,100
14,2014,POBI6,MIOB2,0.04,0.05,0.03,100
14,2014,POBI6,2MOSS,0.04,0.05,0.35,100
14,2014,POBI6,TRSP2,0.04,0.05,0.04,100
14,2014,POBI6,TRPAP,0.04,0.05,0.1,100
14,2014,POBI6,2LICHN,0.04,0.05,0.03,100
14,2014,POBI6,CHJA,0.04,0.05,0.03,100
14,2015,POBI6,2LTR,0.05,0.04,0.15,114
14,2015,POBI6,SIPR,0.05,0.04,0.15,114
14,2015,POBI6,ERSI3,0.05,0.04,0.04,114
14,2015,POBI6,GEROT,0.05,0.04,0.11,114
14,2015,POBI6,ARSC,0.05,0.04,0,114
14,2015,POBI6,LUSP4,0.05,0.04,0.04,114
14,2015,POBI6,TRPAP,0.05,0.04,0.09,114
14,2015,POBI6,RAAD,0.05,0.04,0.05,114
14,2015,POBI6,MIOB2,0.05,0.04,0.05,114
14,2015,POBI6,2MOSS,0.05,0.04,0.36,114
14,2015,POBI6,ARFEF3,0.05,0.04,0,114
14,2015,POBI6,2LICHN,0.05,0.04,0.04,114
14,2015,POBI6,SEDES,0.05,0.04,0,114
14,2015,POBI6,TRSP2,0.05,0.04,0.01,114
14,2015,POBI6,CHJA,0.05,0.04,0.02,114
14,2015,POBI6,2BARE,0.05,0.04,0.03,114
14,2016,POBI6,SIPR,0.05,0.05,0.18,141
14,2016,POBI6,RAAD,0.05,0.05,0.05,141
14,2016,POBI6,MIOB2,0.05,0.05,0.07,141
14,2016,POBI6,LUSP4,0.05,0.05,0.06,141
14,2016,POBI6,2LTR,0.05,0.05,0.17,141
14,2016,POBI6,2MOSS,0.05,0.05,0.33,141
14,2016,POBI6,GEROT,0.05,0.05,0.14,141
14,2016,POBI6,ERSI3,0.05,0.05,0.05,141
14,2016,POBI6,2LICHN,0.05,0.05,0.04,141
14,2016,POBI6,TRSP2,0.05,0.05,0.04,141
14,2016,POBI6,SEDES,0.05,0.05,0.01,141
14,2016,POBI6,TRPAP,0.05,0.05,0.14,141
14,2016,POBI6,ARSC,0.05,0.05,0.01,141
14,2016,POBI6,CHJA,0.05,0.05,0.01,141
14,2017,POBI6,SIPR,0.05,0.05,0.15,97
14,2017,POBI6,2LICHN,0.05,0.05,0.06,97
14,2017,POBI6,2MOSS,0.05,0.05,0.42,97
14,2017,POBI6,MIOB2,0.05,0.05,0.04,97
14,2017,POBI6,GEROT,0.05,0.05,0.15,97
14,2017,POBI6,RAAD,0.05,0.05,0.06,97
14,2017,POBI6,TRSP2,0.05,0.05,0.08,97
14,2017,POBI6,2LTR,0.05,0.05,0.12,97
14,2017,POBI6,ERSI3,0.05,0.05,0.04,97
14,2017,POBI6,LUSP4,0.05,0.05,0.06,97
14,2017,POBI6,TRPAP,0.05,0.05,0.09,97
14,2017,POBI6,DECE,0.05,0.05,0,97
14,2017,POBI6,SEDES,0.05,0.05,0.02,97
14,2017,POBI6,ARSC,0.05,0.05,0.01,97
14,2017,POBI6,CHJA,0.05,0.05,0.02,97
14,2018,POBI6,RAAD,0.04,0.05,0.07,140
14,2018,POBI6,CHJA,0.04,0.05,0.01,140
14,2018,POBI6,SIPR,0.04,0.05,0.22,140
14,2018,POBI6,TRPAP,0.04,0.05,0.07,140
14,2018,POBI6,MIOB2,0.04,0.05,0.07,140
14,2018,POBI6,GEROT,0.04,0.05,0.11,140
14,2018,POBI6,2LTR,0.04,0.05,0.06,140
14,2018,POBI6,TRSP2,0.04,0.05,0.07,140
14,2018,POBI6,LUSP4,0.04,0.05,0.06,140
14,2018,POBI6,ERSI3,0.04,0.05,0.04,140
14,2018,POBI6,2MOSS,0.04,0.05,0.3,140
14,2018,POBI6,2LICHN,0.04,0.05,0.07,140
14,2018,POBI6,DECE,0.04,0.05,0.01,140
14,2018,POBI6,SEDES,0.04,0.05,0.02,140
14,2018,POBI6,2BARE,0.04,0.05,0,140
15,2011,POBI6,2BARE,0.04,0.02,0.11,155
15,2011,POBI6,2LTR,0.04,0.02,0.44,155
15,2011,POBI6,ARSC,0.04,0.02,0.07,155
15,2011,POBI6,DECE,0.04,0.02,0.2,155
15,2011,POBI6,SIPR,0.04,0.02,0.23,155
15,2011,POBI6,MIOB2,0.04,0.02,0.16,155
15,2011,POBI6,FEBR,0.04,0.02,0.05,155
15,2011,POBI6,GEROT,0.04,0.02,0.07,155
15,2011,POBI6,2MOSS,0.04,0.02,0.09,155
15,2011,POBI6,2UNKSC,0.04,0.02,0.02,155
15,2011,POBI6,LEPY2,0.04,0.02,0.02,155
15,2011,POBI6,2LICHN,0.04,0.02,0.03,155
15,2011,POBI6,LUSP4,0.04,0.02,0.01,155
15,2012,POBI6,2BARE,0.01,0.04,0.1,161
15,2012,POBI6,2LTR,0.01,0.04,0.49,161
15,2012,POBI6,MIOB2,0.01,0.04,0.17,161
15,2012,POBI6,SIPR,0.01,0.04,0.29,161
15,2012,POBI6,DECE,0.01,0.04,0.23,161
15,2012,POBI6,FEBR,0.01,0.04,0.02,161
15,2012,POBI6,2MOSS,0.01,0.04,0.06,161
15,2012,POBI6,LEPY2,0.01,0.04,0.01,161
15,2012,POBI6,ARSC,0.01,0.04,0.08,161
15,2012,POBI6,2LICHN,0.01,0.04,0.02,161
15,2012,POBI6,GEROT,0.01,0.04,0.11,161
15,2012,POBI6,ERSI3,0.01,0.04,0,161
15,2013,POBI6,2BARE,0.05,0.01,0.12,171
15,2013,POBI6,MIOB2,0.05,0.01,0.19,171
15,2013,POBI6,DECE,0.05,0.01,0.3,171
15,2013,POBI6,SIPR,0.05,0.01,0.26,171
15,2013,POBI6,GEROT,0.05,0.01,0.11,171
15,2013,POBI6,2LTR,0.05,0.01,0.29,171
15,2013,POBI6,2MOSS,0.05,0.01,0.13,171
15,2013,POBI6,ARSC,0.05,0.01,0.07,171
15,2013,POBI6,ERSI3,0.05,0.01,0.01,171
15,2013,POBI6,LUSP4,0.05,0.01,0,171
15,2013,POBI6,CHJA,0.05,0.01,0,171
15,2013,POBI6,FEBR,0.05,0.01,0.05,171
15,2013,POBI6,2LICHN,0.05,0.01,0.04,171
15,2014,POBI6,2BARE,0.04,0.05,0.15,100
15,2014,POBI6,SIPR,0.04,0.05,0.34,100
15,2014,POBI6,MIOB2,0.04,0.05,0.24,100
15,2014,POBI6,DECE,0.04,0.05,0.21,100
15,2014,POBI6,FEBR,0.04,0.05,0.05,100
15,2014,POBI6,2MOSS,0.04,0.05,0.09,100
15,2014,POBI6,2LTR,0.04,0.05,0.18,100
15,2014,POBI6,ARSC,0.04,0.05,0.07,100
15,2014,POBI6,GEROT,0.04,0.05,0.11,100
15,2014,POBI6,2LICHN,0.04,0.05,0.02,100
15,2014,POBI6,ERSI3,0.04,0.05,0.01,100
15,2014,POBI6,CHJA,0.04,0.05,0.01,100
15,2014,POBI6,LEPY2,0.04,0.05,0,100
15,2014,POBI6,LUSP4,0.04,0.05,0.02,100
15,2015,POBI6,2LTR,0.05,0.04,0.28,128
15,2015,POBI6,DECE,0.05,0.04,0.24,128
15,2015,POBI6,MIOB2,0.05,0.04,0.23,128
15,2015,POBI6,SIPR,0.05,0.04,0.31,128
15,2015,POBI6,FEBR,0.05,0.04,0.1,128
15,2015,POBI6,ARSC,0.05,0.04,0.12,128
15,2015,POBI6,2MOSS,0.05,0.04,0.17,128
15,2015,POBI6,2BARE,0.05,0.04,0.07,128
15,2015,POBI6,2LICHN,0.05,0.04,0.01,128
15,2015,POBI6,GEROT,0.05,0.04,0.11,128
15,2015,POBI6,LEPY2,0.05,0.04,0.01,128
15,2015,POBI6,LUSP4,0.05,0.04,0.01,128
15,2015,POBI6,ERSI3,0.05,0.04,0.01,128
15,2015,POBI6,CHJA,0.05,0.04,0.01,128
15,2016,POBI6,2LTR,0.03,0.05,0.29,141
15,2016,POBI6,DECE,0.03,0.05,0.4,141
15,2016,POBI6,MIOB2,0.03,0.05,0.22,141
15,2016,POBI6,SIPR,0.03,0.05,0.37,141
15,2016,POBI6,GEROT,0.03,0.05,0.1,141
15,2016,POBI6,ARSC,0.03,0.05,0.1,141
15,2016,POBI6,2MOSS,0.03,0.05,0.2,141
15,2016,POBI6,2BARE,0.03,0.05,0.02,141
15,2016,POBI6,FEBR,0.03,0.05,0.05,141
15,2016,POBI6,ERSI3,0.03,0.05,0.02,141
15,2016,POBI6,LUSP4,0.03,0.05,0.02,141
15,2016,POBI6,2LICHN,0.03,0.05,0.04,141
15,2017,POBI6,2LTR,0.04,0.03,0.37,97
15,2017,POBI6,DECE,0.04,0.03,0.39,97
15,2017,POBI6,GEROT,0.04,0.03,0.1,97
15,2017,POBI6,ARSC,0.04,0.03,0.13,97
15,2017,POBI6,SIPR,0.04,0.03,0.35,97
15,2017,POBI6,MIOB2,0.04,0.03,0.26,97
15,2017,POBI6,ERSI3,0.04,0.03,0.02,97
15,2017,POBI6,FEBR,0.04,0.03,0.1,97
15,2017,POBI6,2MOSS,0.04,0.03,0.13,97
15,2017,POBI6,2BARE,0.04,0.03,0.05,97
15,2017,POBI6,2LICHN,0.04,0.03,0.01,97
15,2017,POBI6,LEPY2,0.04,0.03,0,97
15,2017,POBI6,LUSP4,0.04,0.03,0.02,97
15,2018,POBI6,SIPR,0.03,0.04,0.51,140
15,2018,POBI6,FEBR,0.03,0.04,0.08,140
15,2018,POBI6,MIOB2,0.03,0.04,0.23,140
15,2018,POBI6,DECE,0.03,0.04,0.42,140
15,2018,POBI6,2BARE,0.03,0.04,0.06,140
15,2018,POBI6,2LTR,0.03,0.04,0.22,140
15,2018,POBI6,ARSC,0.03,0.04,0.09,140
15,2018,POBI6,2MOSS,0.03,0.04,0.09,140
15,2018,POBI6,ERSI3,0.03,0.04,0.03,140
15,2018,POBI6,GEROT,0.03,0.04,0.1,140
15,2018,POBI6,2LICHN,0.03,0.04,0.03,140
15,2018,POBI6,TRPAP,0.03,0.04,0,140
15,2018,POBI6,LUSP4,0.03,0.04,0.01,140
15,2018,POBI6,CHJA,0.03,0.04,0,140
16,2011,POBI6,2LTR,0.03,0.02,0.5,155
16,2011,POBI6,SIPR,0.03,0.02,0.35,155
16,2011,POBI6,GEROT,0.03,0.02,0.15,155
16,2011,POBI6,DECE,0.03,0.02,0.23,155
16,2011,POBI6,LEPY2,0.03,0.02,0,155
16,2011,POBI6,ARSC,0.03,0.02,0.04,155
16,2011,POBI6,LUSP4,0.03,0.02,0.02,155
16,2011,POBI6,TRPAP,0.03,0.02,0.01,155
16,2011,POBI6,MIOB2,0.03,0.02,0.05,155
16,2011,POBI6,2BARE,0.03,0.02,0.18,155
16,2011,POBI6,ERSI3,0.03,0.02,0.02,155
16,2011,POBI6,2MOSS,0.03,0.02,0.01,155
16,2012,POBI6,SIPR,0.02,0.03,0.33,161
16,2012,POBI6,2LTR,0.02,0.03,0.59,161
16,2012,POBI6,DECE,0.02,0.03,0.24,161
16,2012,POBI6,GEROT,0.02,0.03,0.16,161
16,2012,POBI6,2BARE,0.02,0.03,0.16,161
16,2012,POBI6,ARSC,0.02,0.03,0.02,161
16,2012,POBI6,LUSP4,0.02,0.03,0.07,161
16,2012,POBI6,TRPAP,0.02,0.03,0.07,161
16,2012,POBI6,MIOB2,0.02,0.03,0.08,161
16,2012,POBI6,2LICHN,0.02,0.03,0,161
16,2012,POBI6,LEPY2,0.02,0.03,0.05,161
16,2012,POBI6,ERSI3,0.02,0.03,0.04,161
16,2012,POBI6,SIACS2,0.02,0.03,0,161
16,2012,POBI6,2MOSS,0.02,0.03,0.01,161
16,2013,POBI6,SIPR,0.03,0.02,0.34,171
16,2013,POBI6,TRPAP,0.03,0.02,0.07,171
16,2013,POBI6,GEROT,0.03,0.02,0.14,171
16,2013,POBI6,2LTR,0.03,0.02,0.36,171
16,2013,POBI6,DECE,0.03,0.02,0.29,171
16,2013,POBI6,2BARE,0.03,0.02,0.14,171
16,2013,POBI6,ARSC,0.03,0.02,0.04,171
16,2013,POBI6,2LICHN,0.03,0.02,0.01,171
16,2013,POBI6,LUSP4,0.03,0.02,0.06,171
16,2013,POBI6,MIOB2,0.03,0.02,0.08,171
16,2013,POBI6,FEBR,0.03,0.02,0,171
16,2013,POBI6,2UNKSC,0.03,0.02,0,171
16,2013,POBI6,2MOSS,0.03,0.02,0.01,171
16,2013,POBI6,ERSI3,0.03,0.02,0.03,171
16,2014,POBI6,SIPR,0.03,0.03,0.38,114
16,2014,POBI6,GEROT,0.03,0.03,0.16,114
16,2014,POBI6,2LTR,0.03,0.03,0.25,114
16,2014,POBI6,LUSP4,0.03,0.03,0.14,114
16,2014,POBI6,DECE,0.03,0.03,0.23,114
16,2014,POBI6,2MOSS,0.03,0.03,0.02,114
16,2014,POBI6,ARSC,0.03,0.03,0.03,114
16,2014,POBI6,MIOB2,0.03,0.03,0.14,114
16,2014,POBI6,TRPAP,0.03,0.03,0.04,114
16,2014,POBI6,2BARE,0.03,0.03,0.15,114
16,2014,POBI6,ERSI3,0.03,0.03,0.04,114
16,2014,POBI6,2LICHN,0.03,0.03,0.01,114
16,2014,POBI6,LEPY2,0.03,0.03,0,114
16,2014,POBI6,FEBR,0.03,0.03,0.02,114
16,2015,POBI6,2LTR,0.04,0.03,0.34,128
16,2015,POBI6,TRPAP,0.04,0.03,0.08,128
16,2015,POBI6,SIPR,0.04,0.03,0.47,128
16,2015,POBI6,LUSP4,0.04,0.03,0.15,128
16,2015,POBI6,DECE,0.04,0.03,0.22,128
16,2015,POBI6,ERSI3,0.04,0.03,0.04,128
16,2015,POBI6,FEBR,0.04,0.03,0.01,128
16,2015,POBI6,GEROT,0.04,0.03,0.18,128
16,2015,POBI6,MIOB2,0.04,0.03,0.12,128
16,2015,POBI6,ARSC,0.04,0.03,0.07,128
16,2015,POBI6,2BARE,0.04,0.03,0.04,128
16,2015,POBI6,LEPY2,0.04,0.03,0.04,128
16,2015,POBI6,2LICHN,0.04,0.03,0.02,128
16,2015,POBI6,2MOSS,0.04,0.03,0.04,128
16,2016,POBI6,2LTR,0.05,0.04,0.29,141
16,2016,POBI6,SIPR,0.05,0.04,0.46,141
16,2016,POBI6,TRPAP,0.05,0.04,0.09,141
16,2016,POBI6,DECE,0.05,0.04,0.32,141
16,2016,POBI6,ERSI3,0.05,0.04,0.06,141
16,2016,POBI6,2LICHN,0.05,0.04,0.02,141
16,2016,POBI6,GEROT,0.05,0.04,0.17,141
16,2016,POBI6,MIOB2,0.05,0.04,0.14,141
16,2016,POBI6,ARSC,0.05,0.04,0.06,141
16,2016,POBI6,2MOSS,0.05,0.04,0.01,141
16,2016,POBI6,FEBR,0.05,0.04,0.04,141
16,2016,POBI6,LUSP4,0.05,0.04,0.11,141
16,2016,POBI6,2BARE,0.05,0.04,0.07,141
16,2017,POBI6,GEROT,0.05,0.05,0.19,97
16,2017,POBI6,SIPR,0.05,0.05,0.34,97
16,2017,POBI6,DECE,0.05,0.05,0.34,97
16,2017,POBI6,2LTR,0.05,0.05,0.57,97
16,2017,POBI6,FEBR,0.05,0.05,0.02,97
16,2017,POBI6,MIOB2,0.05,0.05,0.21,97
16,2017,POBI6,ARSC,0.05,0.05,0.1,97
16,2017,POBI6,LUSP4,0.05,0.05,0.1,97
16,2017,POBI6,TRPAP,0.05,0.05,0.08,97
16,2017,POBI6,2BARE,0.05,0.05,0.01,97
16,2017,POBI6,LEPY2,0.05,0.05,0,97
16,2017,POBI6,2MOSS,0.05,0.05,0.06,97
16,2017,POBI6,ERSI3,0.05,0.05,0.04,97
16,2017,POBI6,2LICHN,0.05,0.05,0.02,97
16,2018,POBI6,ARSC,0.06,0.05,0.03,140
16,2018,POBI6,SIPR,0.06,0.05,0.44,140
16,2018,POBI6,GEROT,0.06,0.05,0.18,140
16,2018,POBI6,2LTR,0.06,0.05,0.38,140
16,2018,POBI6,DECE,0.06,0.05,0.32,140
16,2018,POBI6,LUSP4,0.06,0.05,0.07,140
16,2018,POBI6,2MOSS,0.06,0.05,0.03,140
16,2018,POBI6,MIOB2,0.06,0.05,0.17,140
16,2018,POBI6,TRPAP,0.06,0.05,0.11,140
16,2018,POBI6,LEPY2,0.06,0.05,0.01,140
16,2018,POBI6,ERSI3,0.06,0.05,0.02,140
17,2011,POBI6,2LTR,0.02,0.02,0.59,168
17,2011,POBI6,DECE,0.02,0.02,0.27,168
17,2011,POBI6,TRPAP,0.02,0.02,0.12,168
17,2011,POBI6,ARSC,0.02,0.02,0.24,168
